"","7","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","7","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","7","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","7","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","7","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","7","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","7","","","",""
"","","","","0",""
"10","","","","",""
"","","","","0",""
"8","","","","",""
"","","","","0",""
"7","","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"7","","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"7","","","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","12","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","10","","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"7","","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"7","","","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","9","","","",""
"","","","","0",""
"7","","","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","12","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","10","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","9","","",""
"","","","","0",""
"","","5","","",""
"","","","","0",""
"","","7","","",""
"","","","","0",""
"","","4","","",""
"","","","","0",""
